playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Kenley Jansen,LAD,NL,65,0,4,1,0,0,0,0,0,66,43,0,16,5,9,98,445276,3096,0,65,RP
Roberto Osuna,TOR,AL,66,0,4,3,0,0,0,0,0,68,49,0,21,5,11,83,532077,13764,0,66,RP
Craig Kimbrel,BOS,AL,67,0,4,3,0,0,0,0,0,62,41,0,16,6,16,93,518886,6655,0,67,RP
Chad Green,NYY,AL,40,6,5,2,0,0,0,0,0,102,70,0,29,9,26,145,643338,15552,1,39,SP
Aroldis Chapman,NYY,AL,52,0,4,4,0,0,0,0,0,60,40,0,18,4,22,85,547973,10233,0,52,RP
Felipe Rivero,PIT,NL,73,0,3,2,0,0,0,0,0,63,46,0,18,4,17,76,553878,12076,0,73,RP
David Robertson,NYY,AL,31,0,4,3,0,0,0,0,0,67,46,0,19,6,22,95,502085,8241,0,31,RP
Trevor Hildenberger,MIN,AL,37,0,4,4,0,0,0,0,0,69,56,0,22,6,11,77,657610,17002,0,37,RP
Clayton Kershaw,LAD,NL,27,28,17,5,0,0,0,0,0,194,150,0,52,18,34,226,477132,2036,27,0,SP
Ken Giles,HOU,AL,63,0,3,4,0,0,0,0,0,64,46,0,17,5,22,85,571704,12910,0,63,RP
Dellin Betances,NYY,AL,66,0,4,5,0,0,0,0,0,67,44,0,20,5,31,100,476454,6216,0,66,RP
Tommy Kahnle,NYY,AL,37,0,3,2,0,0,0,0,0,61,43,0,18,6,20,86,592454,11384,0,37,RP
James Paxton,SEA,AL,24,27,15,8,0,0,0,0,0,165,142,0,58,12,43,183,572020,11828,24,0,SP
Noah Syndergaard,NYM,NL,7,27,13,8,0,0,0,0,0,168,142,0,54,16,35,196,592789,11762,7,0,SP
Stephen Strasburg,WSH,NL,28,29,16,6,0,0,0,0,0,184,147,0,58,17,48,221,544931,10131,28,0,SP
Chris Sale,BOS,AL,32,32,17,8,0,0,0,0,0,217,175,0,72,26,43,276,519242,10603,32,0,SP
Brandon Morrow,CHC,NL,45,0,4,3,0,0,0,0,0,54,45,0,16,5,12,59,453344,9346,0,45,SP
Michael Feliz,PIT,AL,46,0,5,4,0,0,0,0,0,48,33,0,17,5,19,69,593140,11903,0,46,RP
Mark Melancon,SF,NL,32,0,2,2,0,0,0,0,0,67,59,0,22,6,12,65,453343,4264,0,32,RP
Corey Kluber,CLE,AL,29,31,17,7,0,0,0,0,0,209,167,0,69,22,48,242,446372,2429,29,0,SP
Chris Devenski,HOU,AL,62,0,7,4,0,0,0,0,0,77,61,0,22,8,21,93,606965,12763,0,62,RP
Aaron Nola,PHI,NL,27,30,14,9,0,0,0,0,0,190,168,0,72,18,51,207,605400,16149,27,0,SP
Lance McCullers,HOU,AL,22,25,11,7,0,0,0,0,0,140,120,0,55,11,52,160,621121,14120,22,0,SP
Max Scherzer,WSH,NL,31,32,17,7,0,0,0,0,0,211,160,0,67,26,55,262,453286,3137,31,0,SP
Juan Nicasio,SEA,NL,2,0,4,3,0,0,0,0,0,76,69,0,24,7,21,80,504379,7731,0,2,SP
David Price,BOS,AL,16,28,14,7,0,0,0,0,0,176,158,0,65,18,39,178,456034,3184,11,5,SP
Jameson Taillon,PIT,NL,25,29,11,8,0,0,0,0,0,174,164,0,71,15,48,168,592791,11674,25,0,SP
Carlos Carrasco,CLE,AL,32,29,14,7,0,0,0,0,0,179,155,0,67,21,44,199,471911,6632,32,0,SP
Jose Quintana,CHC,AL,18,32,15,8,0,0,0,0,0,200,178,0,78,21,53,209,500779,11423,18,0,SP
Jon Gray,COL,NL,20,30,14,8,0,0,0,0,0,173,159,0,70,18,50,186,592351,14916,20,0,SP
Luiz Gohara,ATL,NL,5,24,10,7,0,0,0,0,0,134,114,0,55,12,45,141,627894,15166,5,0,
Luis Severino,NYY,AL,31,30,14,7,0,0,0,0,0,186,154,0,69,22,53,215,622663,15890,31,0,SP
Luke Weaver,STL,NL,15,29,12,8,0,0,0,0,0,161,137,0,65,17,46,174,596133,16918,10,3,SP
Garrett Richards,LAA,AL,6,23,10,7,0,0,0,0,0,135,115,0,49,11,42,128,572070,9784,6,0,SP
Edwin Diaz,SEA,AL,66,0,4,4,0,0,0,0,0,64,47,0,21,8,26,89,621242,14710,0,66,RP
Jacob deGrom,NYM,NL,37,31,14,9,0,0,0,0,0,196,170,0,72,23,52,215,594798,10954,31,0,SP
Addison Reed,MIN,AL,29,0,3,2,0,0,0,0,0,75,67,0,25,9,17,79,592665,10586,0,29,RP
Fernando Rodney,MIN,NL,61,0,3,5,0,0,0,0,0,56,44,0,23,4,27,65,407845,494,0,61,RP
Arodys Vizcaino,ATL,NL,62,0,3,3,0,0,0,0,0,63,52,0,23,6,24,71,527055,5498,0,62,RP
Madison Bumgarner,SF,NL,17,32,16,9,0,0,0,0,0,213,186,0,68,26,45,217,518516,5524,17,0,SP
Carlos Martinez,STL,NL,34,32,15,8,0,0,0,0,0,210,180,0,74,21,71,223,593372,11682,32,0,SP
Alex Wood,LAD,NL,27,25,13,6,0,0,0,0,0,145,131,0,53,15,41,143,622072,13781,25,2,SP
Charlie Morton,HOU,AL,25,25,12,7,0,0,0,0,0,142,125,0,60,14,52,150,450203,4676,25,0,SP
Gerrit Cole,HOU,NL,34,32,15,9,0,0,0,0,0,198,183,0,77,22,56,199,543037,13125,33,0,SP
Jose Berrios,MIN,AL,26,30,14,8,0,0,0,0,0,182,167,0,71,19,55,180,621244,14168,25,1,SP
Brent Honeywell,,,16,14,7,6,0,0,0,0,0,86,79,0,36,9,28,88,,0,0,0,
Nick Vincent,SEA,AL,69,0,3,4,0,0,0,0,0,63,60,0,23,6,15,52,543883,7555,0,69,RP
Yu Darvish,CHC,NL,9,30,14,8,0,0,0,0,0,181,152,0,70,25,54,215,506433,13074,9,0,SP
Shohei Ohtani,,,24,24,11,7,0,0,0,0,0,141,120,0,56,16,48,155,,19755,0,0,
Rich Hill,LAD,NL,25,23,12,7,0,0,0,0,0,126,99,0,50,15,45,145,448179,4806,25,0,SP
David Phelps,SEA,NL,44,0,4,3,0,0,0,0,0,63,53,0,22,6,27,71,475479,6316,0,44,SP
Chris Archer,TB,AL,34,33,12,10,0,0,0,0,0,196,170,0,78,27,62,236,502042,6345,34,0,SP
Zack Godley,ARI,NL,27,30,12,9,0,0,0,0,0,183,161,0,69,19,60,183,643327,14862,25,1,SP
Kyle Hendricks,CHC,NL,25,29,13,7,0,0,0,0,0,171,153,0,63,19,43,157,543294,12049,24,0,SP
Seung Hwan Oh,TOR,NL,62,0,3,3,0,0,0,0,0,60,53,0,23,8,15,64,493200,18719,0,62,RP
Michael Wacha,STL,NL,30,28,12,9,0,0,0,0,0,152,145,0,66,15,47,139,608379,14078,30,0,SP
Kenta Maeda,LAD,NL,30,29,12,8,0,0,0,0,0,151,132,0,66,19,43,157,628317,18498,25,4,SP
Luis Castillo,CIN,NL,15,28,11,9,0,0,0,0,0,166,145,0,64,19,55,174,622491,15689,15,0,SP
Johnny Cueto,SF,NL,25,31,14,10,0,0,0,0,0,198,186,0,78,21,55,178,456501,6893,25,0,SP
Marcus Stroman,TOR,AL,34,32,14,9,0,0,0,0,0,205,198,0,79,20,56,171,573186,13431,33,0,SP
Ryan Tepera,TOR,AL,73,0,4,2,0,0,0,0,0,64,55,0,24,6,26,66,572193,10291,0,73,RP
Mike Leake,SEA,AL,5,30,12,9,0,0,0,0,0,182,182,0,76,19,35,135,502190,10130,5,0,SP
Justin Verlander,HOU,AL,28,32,16,7,0,0,0,0,0,206,171,0,76,26,65,222,434378,8700,28,0,SP
Wade Davis,COL,NL,59,0,4,3,0,0,0,0,0,61,49,0,21,7,26,73,451584,7441,0,59,RP
Jordan Montgomery,NYY,AL,29,29,12,7,0,0,0,0,0,162,147,0,64,18,50,156,656756,16511,29,0,SP
Robbie Ray,ARI,NL,28,30,13,8,0,0,0,0,0,171,146,0,70,22,70,212,592662,11486,28,0,SP
Jeff Samardzija,SF,NL,35,32,13,10,0,0,0,0,0,208,200,0,87,27,43,187,502188,3254,32,0,SP
Dallas Keuchel,HOU,AL,23,29,15,8,0,0,0,0,0,184,168,0,66,19,53,157,572971,9434,23,0,SP
Masahiro Tanaka,NYY,AL,30,28,13,8,0,0,0,0,0,173,156,0,74,26,34,174,547888,15764,30,0,SP
James Pazos,SEA,AL,59,0,3,4,0,0,0,0,0,53,44,0,21,6,23,61,572021,13323,0,59,RP
Joe Musgrove,PIT,AL,38,23,11,9,0,0,0,0,0,133,125,0,60,16,34,120,605397,12970,15,23,SP
Joe Biagini,TOR,AL,44,15,5,6,0,0,0,0,0,110,103,0,50,11,35,96,607352,13194,18,26,RP
Zack Greinke,ARI,NL,33,31,14,7,0,0,0,0,0,196,175,0,74,26,47,185,425844,1943,32,0,SP
Blake Snell,TB,AL,24,28,11,10,0,0,0,0,0,159,145,0,62,17,63,163,605483,13543,24,0,SP
Brad Peacock,HOU,AL,34,13,8,6,0,0,0,0,0,118,101,0,45,14,46,129,502748,5401,21,13,RP
Trevor Bauer,CLE,AL,32,31,13,9,0,0,0,0,0,174,157,0,78,21,62,180,545333,12703,31,1,SP
German Marquez,COL,NL,29,30,12,8,0,0,0,0,0,180,167,0,83,24,50,174,608566,15038,29,0,SP
Kelvin Herrera,KC,AL,64,0,3,3,0,0,0,0,0,65,58,0,23,8,22,64,516969,6033,0,64,RP
Sean Newcomb,ATL,NL,19,26,9,9,0,0,0,0,0,138,117,0,62,13,69,146,656794,16943,19,0,SP
Jake Arrieta,PHI,NL,32,31,12,9,0,0,0,0,0,183,157,0,74,22,60,171,453562,4153,30,0,SP
Jon Lester,CHC,NL,32,32,13,8,0,0,0,0,0,189,175,0,83,24,58,178,452657,4930,32,0,SP
Eduardo Rodriguez,BOS,AL,25,24,10,8,0,0,0,0,0,139,126,0,57,18,48,142,593958,13164,24,1,SP
Drew Pomeranz,BOS,AL,32,30,14,8,0,0,0,0,0,172,151,0,68,21,67,180,519141,11426,32,0,SP
Sonny Gray,NYY,AL,11,28,14,8,0,0,0,0,0,170,152,0,69,21,57,163,543243,12768,11,0,SP
Rick Porcello,BOS,AL,33,33,13,11,0,0,0,0,0,208,211,0,92,30,41,179,519144,2717,33,0,SP
Sean Manaea,OAK,AL,29,29,11,9,0,0,0,0,0,168,162,0,71,20,54,150,640455,15873,29,0,SP
Danny Duffy,KC,AL,24,26,11,10,0,0,0,0,0,164,160,0,70,21,45,143,518633,3542,24,0,SP
Dinelson Lamet,SD,NL,21,28,9,9,0,0,0,0,0,154,131,0,68,21,63,177,659275,17186,21,0,SP
Mike Foltynewicz,ATL,NL,29,29,11,10,0,0,0,0,0,162,161,0,78,19,58,153,592314,10811,28,1,SP
Gio Gonzalez,WSH,NL,32,32,12,10,0,0,0,0,0,189,179,0,83,21,72,176,461829,7448,32,0,SP
Jakob Junis,KC,AL,20,22,8,10,0,0,0,0,0,167,163,0,75,22,43,143,596001,13619,16,4,SP
J.A. Happ,TOR,AL,25,30,11,9,0,0,0,0,0,175,168,0,71,22,53,156,457918,7410,25,0,SP
Aaron Sanchez,TOR,AL,8,26,12,7,0,0,0,0,0,156,141,0,61,16,55,129,592717,11490,8,0,SP
Mike Clevinger,CLE,AL,27,27,11,7,0,0,0,0,0,148,129,0,60,17,67,156,605182,12808,21,6,SP
Marc Rzepczynski,SEA,AL,64,0,1,2,0,0,0,0,0,32,29,0,12,2,17,27,519240,6612,0,64,RP
Adam Wainwright,STL,NL,26,22,8,8,0,0,0,0,0,122,128,0,60,14,37,96,425794,2233,23,1,SP
Ervin Santana,MIN,AL,33,31,14,9,0,0,0,0,0,196,183,0,80,24,58,160,429722,3200,33,0,SP
Jerad Eickhoff,PHI,NL,24,30,9,10,0,0,0,0,0,183,179,0,84,25,53,161,595191,12664,24,0,SP
Julio Teheran,ATL,NL,37,33,12,10,0,0,0,0,0,205,194,0,87,26,62,171,527054,6797,32,0,SP
Danny Barnes,TOR,AL,60,0,3,3,0,0,0,0,0,60,56,0,23,8,21,57,592130,11388,0,60,RP
Felix Hernandez,SEA,AL,16,24,11,8,0,0,0,0,0,139,130,0,60,20,41,129,433587,4772,16,0,SP
Homer Bailey,CIN,NL,18,25,10,9,0,0,0,0,0,140,134,0,69,17,50,122,456701,8362,18,0,SP
Tanner Roark,WSH,NL,32,28,12,10,0,0,0,0,0,188,178,0,85,22,67,157,543699,8753,30,2,SP
Marco Gonzales,SEA,AL,10,21,8,7,0,0,0,0,0,130,130,0,60,17,37,104,594835,15467,7,3,SP
Jaime Garcia,TOR,NL,18,26,8,10,0,0,0,0,0,151,148,0,70,19,51,126,448802,8137,18,0,SP
Kevin Gausman,BAL,AL,34,31,11,10,0,0,0,0,0,174,172,0,80,26,56,168,592332,14107,34,0,SP
Lucas Giolito,CWS,AL,7,26,9,9,0,0,0,0,0,161,154,0,69,23,54,148,608337,15474,7,0,SP
Marco Estrada,TOR,AL,33,30,11,9,0,0,0,0,0,173,152,0,75,24,62,160,462136,1118,33,0,SP
Kyle Gibson,MIN,AL,29,29,12,10,0,0,0,0,0,167,175,0,78,20,55,124,502043,10123,29,0,SP
Lance Lynn,MIN,NL,33,32,12,10,0,0,0,0,0,186,175,0,73,23,74,159,458681,2520,33,0,SP
Nick Pivetta,PHI,NL,26,24,8,9,0,0,0,0,0,127,118,0,65,20,46,129,601713,15454,26,0,SP
CC Sabathia,NYY,AL,27,27,11,8,0,0,0,0,0,148,147,0,67,21,51,125,282332,404,27,0,SP
Adalberto Mejia,MIN,AL,21,23,8,8,0,0,0,0,0,125,121,0,61,16,51,107,606167,13188,21,0,RP
Jake Odorizzi,MIN,AL,28,29,11,8,0,0,0,0,0,165,154,0,70,26,51,144,543606,6397,28,0,SP
Erasmo Ramirez,SEA,AL,11,22,9,8,0,0,0,0,0,142,139,0,64,24,35,118,541640,10314,11,0,SP
Robert Stephenson,CIN,NL,26,16,6,6,0,0,0,0,0,106,98,0,49,14,51,102,596112,13594,11,14,SP
Jharel Cotton,OAK,AL,24,26,9,9,0,0,0,0,0,143,145,0,71,23,51,119,605194,13654,24,0,SP
Bartolo Colon,MIN,NL,13,20,6,8,0,0,0,0,0,101,120,0,60,20,23,62,112526,375,13,0,SP
Ariel Miranda,SEA,AL,32,11,6,6,0,0,0,0,0,97,90,0,47,19,36,81,664641,17526,29,2,SP
